Date,Amount,Category,Description
01/04/2026,$18.50,Food,Maccas breakfast -Bourke St Melbourne
02/04/2026,$4.60,Transport,Myki top-up - Flinders St Station
03/04/2026,$6.80,Food,Flat white & muffin - Gloria Jean's
04/04/2026,$24.99,Entertainment,Netflix monthly subscription
05/04/2026,$4.60,Transport,Myki fare - bus route 246
06/04/2026,$11.90,Food,Subway footlong - Swanston St
07/04/2026,$59.99,Clothes,Jeans - Cotton On City
08/04/2026,$22.50,Entertainment,Cinema ticket - Event Cinemas
09/04/2026,$42.30,Food,Woolworths grocery run
10/04/2026,$4.60,Transport,Myki fare - tram route 96
11/04/2026,$15.00,Entertainment,Bowling - Strike Bowling Melbourne
12/04/2026,$9.50,Food,Snacks & drinks - 7-Eleven
13/04/2026,$4.60,Transport,Myki fare - train to Footscray
14/04/2026,-$29.99,Refund,Refund - Mobile Legends in-game purchase
15/04/2026,$14.90,Food,Noodle box - Gong Cha Bourke St
16/04/2026,$7.50,Food,Starbucks latte & cookie - Emporium
17/04/2026,$89.95,Clothes,Sneakers - Platypus Shoes
18/04/2026,$4.60,Transport,Myki fare - bus to Chadstone
19/04/2026,$55.20,Food,Coles weekly grocery shop
20/04/2026,$18.00,Entertainment,Bowling - Zone Bowling Doncaster
21/04/2026,$12.80,Food,Big Mac meal - McDonald's Southbank
22/04/2026,$4.60,Transport,Myki fare - tram city loop
23/04/2026,$13.99,Entertainment,Disney+ monthly subscription
24/04/2026,-$14.99,Refund,Refund - cancelled Spotify subscription
25/04/2026,$24.50,Entertainment,Cinema - IMAX at Melbourne Museum
26/04/2026,$17.80,Food,Sushi train - Sushi Hub Swanston St
27/04/2026,$79.00,Clothes,Activewear set - Lorna Jane
28/04/2026,-$49.00,Refund,Refund - faulty item return at JB Hi-Fi
29/04/2026,$47.60,Food,IGA grocery shop - Saturday haul
30/04/2026,$24.99,Clothes,Socks & underwear - Big W
